poem_id,poem_text,caption,date_time
P0001,"Nothing is Permanent, Everything passes on.
But the thing is what it leaves on you.","Eternal Reality""""

#firstquote 
#php
#peachhouseperson
#arivalan
#losinglove 
#temporaryhappiness 
#arivalan",2018-07-20T16:55:31
P0002,"I think sleep hates you,
Whenever I think of you
She goes away!","#secondquote 
#nightthoughts 
#sleeplessnights 
#memories 
#mindvoice  #peachhouseperson  
#php #arivalan",2018-07-20T17:54:12
P0003,,"WANT""
Optimist named it as NEED
Pessimist named it as GREED""

#thirdquote 
#icouldtoobut 
#want 
#yqbaba 
#missionaccomplished  
#peachhouseperson
#php #arivalan",2018-07-20T20:04:48
P0004,"இறந்தாவது சொர்கம் சென்று தேவதையை காணவேண்டும் என எண்ணிய தருவாயில் உன்னை சந்தித்தேன்..

இறைவனிடம் சாகாவரம் வேண்டுகிறேன்",#தமிழ் #php #peachhouseperson #arivalan,2018-08-17T20:20:16
P0005,"அன்றொரு நாள் நான் கலங்கி நின்றபோது உன் கண்களோரம் நீர் கண்டேன்... 
உன்னுள் ஏந்தன் காதல் தந்த வலியை உன் கண்களில் கண்ணீராய் கண்டேனடி...","நான் உன்னை காதலிக்கிறேன் ஏனென்றால்  ""உங்கள் விருப்பத்தை  கவித்துவமாக  சொல்லுங்கள்""  #yqkanmani #yqகண்மணி #collab #iloveyou  #yourquoteandmine
Collaborating with  YourQuote Kanmani #php #peachhouseperson #arivalan",2018-08-27T21:37:15
P0006,"When boredom strikes me, I used to write...
Whatever be the word I start with, but it always ends with you...
Eternal Reality",#love #boredom #php #peachhouseperson #arivalan,2018-09-20T15:01:28
P0007,"With the memories of you...
I'm gonna start a new journey...
Let the love of you flow through me...
Hence, recreating those most beautiful
MOMENTS","Love you 
#php  #peachhouseperson #arivalan",2018-11-19T22:07:56
P0008,"மதி போன்ற மலர்முகம் உடையவளே
நிழல் போன்ற நித்தியம் கொண்டவளே
குழல் போன்ற குரல்வளம் உடையவளே
நதி போன்ற நற்குணம் கொண்டவளே
பால் போன்ற பாதங்கள் உடையவளே
பகல் போன்ற புன்னகை கொண்டவளே
திகழ் போன்ற தணல்விழி உடையவளே
பொன் போன்ற புகழ்பெயர் கொண்டவளே
 
உன்னருகே வந்து என்காதல் சொல்ல நாள் தேடி காத்திருக்கிறேன்
என் காதல் ஏற்பாயின்
உனை தினம் ஏந்தி செந்தமிழ் கொண்டு அர்ச்சனை செய்வேனடி...
அர்ச்சனை உலகின் அழகியே உனக்கே தினம் ஆராதனை செய்வேனடி...",#php  #peachhouseperson #arivalan,2018-11-25T23:26:39
P0009,"உன் சிறிய கூந்தல் கடலில் மூழ்கி முத்தெடுக்க சென்றேனே...
முத்தெடுத்து வீடு திரும்ப உன் நெற்றி பக்கம் வந்தேனே...
நெற்றி கடந்து, ஈர்ப்பு மிகுந்த உன் கண்களில் விழாமல்,
உன் மூக்கின் மேலே நடந்து சென்று,
செந்தேன் தெளித்த இதழிலும் மயங்கிடாமல் கடந்து வந்தேன்...
ஆனால் இறுதியில்,

உன் நாடிக்கு நடுவே சிக்கிக்கொண்டேனடி...","அவள்...
#love 
#php  
#peachhouseperson 
#arivalan",2018-12-09T21:28:53
P0010,"Some people love you...
Some people don't...
And there comes the special ones, who hide and make you cry...","Confused... #love #confusedlove #fakelife  
#php  #peachhouseperson #arivalan",2019-01-14T09:09:42
P0011,"நித்தியம் ஒன்றே நிதர்சனம்
சத்தியம் உன்மேல் சமர்ப்பணம்

முத்திரை இன்றி பத்திரம் செய்கிறேன்
நித்திரை தொலைந்தது நோகும் கண்களால்..

உன் நினைவுகள் மட்டும் போதும் அன்பே
என்வாழ்கை விளிம்பை நோக்கி செல்ல...

வேறொருவரும் வேண்டாம் என்று நான் சொல்லும் வேளைகளில், அவள் கரம் கோர்த்த பொழுதுகள் நெஞ்சை நஞ்சாக்க...
வழி ஏதும் இன்றி தவிக்கிறேன்...
விடை இன்றி விளக்கமும் இன்றி
குருதி சிதற அழுகிறேன்...","#php  
#peachhouseperson #arivalan",2019-01-31T22:30:56
P0012,"Marijuana, cocaine, ecstasy, heroin these aren't the real drugs when compared with a pinch of insomnia...

4 days of no sleep can feed you all at once...

You dream with open eyes... 
And your brain starts telling lies...
You can't get how time flies...
And it all ends up with early sunrise...",When you are addicted to the booze of insomnia.. #insomnia #sleeplessnights #quoteforme #peachhouseperson #php #arivalan,2019-02-03T22:33:25
P0013,"Please don't plan your future... 
Life has a plan for you...
And please don't change it, even if it wants you to leave...",#death #lifesucks #php #peachhouseperson #arivalan,2019-02-07T21:54:00
P0014,"காதலுக்கு போட்டி இருப்பதால் கவலை படும் பலர் மத்தியில்,
என் காதலுக்கு போட்டி இல்லை என வருந்தும் நான்...
எனை நானே காதலிப்பதினால்...
போட்டிக்கு நீ வருவாயா அன்பே...",Valentine's day... #love #valentinesday  #propose #tamil #peachhouseperson #happyproposal #php #arivalan,2019-02-14T06:59:19
P0015,"I've came across 17 valentine's day... 
But this year, I realised that no one loves me...
Including the ones whom I thought as my best friends...",Sad day... #truth  #reality  #alone #noonecares #misunderstanding #php #peachhouseperson #arivalan,2019-02-14T15:46:48
P0016,"தீப்பொறி அளவில் நெற்றிப்போட்டு...
அதன் மேலே கார்நிற கூந்தல் மொட்டு...
கண்களுக்கு அடியே கண்மை இட்டு...
அவள் பார்க்கும் பார்வையோ மின்னல் வெட்டு... 

விரல்களில் அவள் அணியும் சிறு மோதிரம்... 
அவள் குணங்களை கூறிடும் பெரு சூத்திரம்...
கோகிலம் கண்டு அவள் அஞ்சும் பயம் சேர்ப்பினும்...
வியப்பில்லை அவள் என்றும் இறைகோத்திரம்...

நான் அறிவேன்,
பெண்மயில் ஒருபோதும் அழகில்லையே - ஆனால்
அவள் இன்று பிறந்தநாள் காணும் பெண்குயிலே... 

இனிய பிறந்தநாள் நல்வாழ்த்துகள்",#happybirthdaymylove #php #peachhouseperson #arivalan,2019-02-22T23:35:57
P0017,"என் கிறுக்கல்கள் அனைத்தும் கவிகளாய் மாற நான் செய்யும் மாயம்,


உன்னை நினைப்பதுவே...",#php #peachhouseperson #arivalan,2019-03-06T20:18:14
